Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
1,2,3,4,5,5.5,6,7,8,9,10.0
2,11,13,15,17,18.0,19,21,23,25,26.5
3,28,31,34,37,38.5,40,43,46,49,51.0
4,53,57,61,65,67.0,69,73,77,81,83.5
5,86,91,96,101,103.5,106,111,116,121,124.0
6,127,133,139,145,148.0,151,157,163,169,172.5
7,176,183,190,197,200.5,204,211,218,225,229.0
8,233,241,249,257,261.0,265,273,281,289,293.5
9,298,307,316,325,329.5,334,343,352,361,366.0
10,371,381,391,401,406.0,411,421,431,441,446.5
11,452,463,474,485,490.5,496,507,518,529,535.0
12,541,553,565,577,583.0,589,601,613,625,631.5
13,638,651,664,677,683.5,690,703,716,729,736.0
14,743,757,771,785,792.0,799,813,827,841,848.5
15,856,871,886,901,908.5,916,931,946,961,969.0
16,977,993,1009,1025,1033.0,1041,1057,1073,1089,1097.5
17,1106,1123,1140,1157,1165.5,1174,1191,1208,1225,1234.0
18,1243,1261,1279,1297,1306.0,1315,1333,1351,1369,1378.5
19,1388,1407,1426,1445,1454.5,1464,1483,1502,1521,1531.0
20,1541,1561,1581,1601,1611.0,1621,1641,1661,1681,1691.5
21,1702,1723,1744,1765,1775.5,1786,1807,1828,1849,1860.0
22,1871,1893,1915,1937,1948.0,1959,1981,2003,2025,2036.5
23,2048,2071,2094,2117,2128.5,2140,2163,2186,2209,2221.0
24,2233,2257,2281,2305,2317.0,2329,2353,2377,2401,2413.5
25,2426,2451,2476,2501,2513.5,2526,2551,2576,2601,2614.0
26,2627,2653,2679,2705,2718.0,2731,2757,2783,2809,2822.5
27,2836,2863,2890,2917,2930.5,2944,2971,2998,3025,3039.0
28,3053,3081,3109,3137,3151.0,3165,3193,3221,3249,3263.5
29,3278,3307,3336,3365,3379.5,3394,3423,3452,3481,3496.0
30,3511,3541,3571,3601,3616.0,3631,3661,3691,3721,3736.5
31,3752,3783,3814,3845,3860.5,3876,3907,3938,3969,3985.0
32,4001,4033,4065,4097,4113.0,4129,4161,4193,4225,4241.5
33,4258,4291,4324,4357,4373.5,4390,4423,4456,4489,4506.0
34,4523,4557,4591,4625,4642.0,4659,4693,4727,4761,4778.5
35,4796,4831,4866,4901,4918.5,4936,4971,5006,5041,5059.0
36,5077,5113,5149,5185,5203.0,5221,5257,5293,5329,5347.5
37,5366,5403,5440,5477,5495.5,5514,5551,5588,5625,5644.0
38,5663,5701,5739,5777,5796.0,5815,5853,5891,5929,5948.5
39,5968,6007,6046,6085,6104.5,6124,6163,6202,6241,6261.0
40,6281,6321,6361,6401,6421.0,6441,6481,6521,6561,6581.5
41,6602,6643,6684,6725,6745.5,6766,6807,6848,6889,6910.0
42,6931,6973,7015,7057,7078.0,7099,7141,7183,7225,7246.5
43,7268,7311,7354,7397,7418.5,7440,7483,7526,7569,7591.0
44,7613,7657,7701,7745,7767.0,7789,7833,7877,7921,7943.5
45,7966,8011,8056,8101,8123.5,8146,8191,8236,8281,8304.0
46,8327,8373,8419,8465,8488.0,8511,8557,8603,8649,8672.5
47,8696,8743,8790,8837,8860.5,8884,8931,8978,9025,9049.0
48,9073,9121,9169,9217,9241.0,9265,9313,9361,9409,9433.5
49,9458,9507,9556,9605,9629.5,9654,9703,9752,9801,9826.0
50,9851,9901,9951,10001,10026.0,10051,10101,10151,10201,10226.5
51,10252,10303,10354,10405,10430.5,10456,10507,10558,10609,10635.0
52,10661,10713,10765,10817,10843.0,10869,10921,10973,11025,11051.5
53,11078,11131,11184,11237,11263.5,11290,11343,11396,11449,11476.0
54,11503,11557,11611,11665,11692.0,11719,11773,11827,11881,11908.5
55,11936,11991,12046,12101,12128.5,12156,12211,12266,12321,12349.0
56,12377,12433,12489,12545,12573.0,12601,12657,12713,12769,12797.5
57,12826,12883,12940,12997,13025.5,13054,13111,13168,13225,13254.0
58,13283,13341,13399,13457,13486.0,13515,13573,13631,13689,13718.5
59,13748,13807,13866,13925,13954.5,13984,14043,14102,14161,14191.0
60,14221,14281,14341,14401,14431.0,14461,14521,14581,14641,14671.5
61,14702,14763,14824,14885,14915.5,14946,15007,15068,15129,15160.0
62,15191,15253,15315,15377,15408.0,15439,15501,15563,15625,15656.5
63,15688,15751,15814,15877,15908.5,15940,16003,16066,16129,16161.0
64,16193,16257,16321,16385,16417.0,16449,16513,16577,16641,16673.5
65,16706,16771,16836,16901,16933.5,16966,17031,17096,17161,17194.0
66,17227,17293,17359,17425,17458.0,17491,17557,17623,17689,17722.5
67,17756,17823,17890,17957,17990.5,18024,18091,18158,18225,18259.0
68,18293,18361,18429,18497,18531.0,18565,18633,18701,18769,18803.5
69,18838,18907,18976,19045,19079.5,19114,19183,19252,19321,19356.0
70,19391,19461,19531,19601,19636.0,19671,19741,19811,19881,19916.5
71,19952,20023,20094,20165,20200.5,20236,20307,20378,20449,20485.0
72,20521,20593,20665,20737,20773.0,20809,20881,20953,21025,21061.5
73,21098,21171,21244,21317,21353.5,21390,21463,21536,21609,21646.0
74,21683,21757,21831,21905,21942.0,21979,22053,22127,22201,22238.5
75,22276,22351,22426,22501,22538.5,22576,22651,22726,22801,22839.0
76,22877,22953,23029,23105,23143.0,23181,23257,23333,23409,23447.5
77,23486,23563,23640,23717,23755.5,23794,23871,23948,24025,24064.0
78,24103,24181,24259,24337,24376.0,24415,24493,24571,24649,24688.5
79,24728,24807,24886,24965,25004.5,25044,25123,25202,25281,25321.0
80,25361,25441,25521,25601,25641.0,25681,25761,25841,25921,25961.5
81,26002,26083,26164,26245,26285.5,26326,26407,26488,26569,26610.0
82,26651,26733,26815,26897,26938.0,26979,27061,27143,27225,27266.5
83,27308,27391,27474,27557,27598.5,27640,27723,27806,27889,27931.0
84,27973,28057,28141,28225,28267.0,28309,28393,28477,28561,28603.5
85,28646,28731,28816,28901,28943.5,28986,29071,29156,29241,29284.0
86,29327,29413,29499,29585,29628.0,29671,29757,29843,29929,29972.5
87,30016,30103,30190,30277,30320.5,30364,30451,30538,30625,30669.0
88,30713,30801,30889,30977,31021.0,31065,31153,31241,31329,31373.5
89,31418,31507,31596,31685,31729.5,31774,31863,31952,32041,32086.0
90,32131,32221,32311,32401,32446.0,32491,32581,32671,32761,32806.5
91,32852,32943,33034,33125,33170.5,33216,33307,33398,33489,33535.0
92,33581,33673,33765,33857,33903.0,33949,34041,34133,34225,34271.5
93,34318,34411,34504,34597,34643.5,34690,34783,34876,34969,35016.0
94,35063,35157,35251,35345,35392.0,35439,35533,35627,35721,35768.5
95,35816,35911,36006,36101,36148.5,36196,36291,36386,36481,36529.0
96,36577,36673,36769,36865,36913.0,36961,37057,37153,37249,37297.5
97,37346,37443,37540,37637,37685.5,37734,37831,37928,38025,38074.0
98,38123,38221,38319,38417,38466.0,38515,38613,38711,38809,38858.5
99,38908,39007,39106,39205,39254.5,39304,39403,39502,39601,39651.0
100,39701,39801,39901,40001,40051.0,40101,40201,40301,40401,40451.5
101,40502,40603,40704,40805,40855.5,40906,41007,41108,41209,41260.0
102,41311,41413,41515,41617,41668.0,41719,41821,41923,42025,42076.5
103,42128,42231,42334,42437,42488.5,42540,42643,42746,42849,42901.0
104,42953,43057,43161,43265,43317.0,43369,43473,43577,43681,43733.5
105,43786,43891,43996,44101,44153.5,44206,44311,44416,44521,44574.0
106,44627,44733,44839,44945,44998.0,45051,45157,45263,45369,45422.5
107,45476,45583,45690,45797,45850.5,45904,46011,46118,46225,46279.0
108,46333,46441,46549,46657,46711.0,46765,46873,46981,47089,47143.5
109,47198,47307,47416,47525,47579.5,47634,47743,47852,47961,48016.0
110,48071,48181,48291,48401,48456.0,48511,48621,48731,48841,48896.5
111,48952,49063,49174,49285,49340.5,49396,49507,49618,49729,49785.0
112,49841,49953,50065,50177,50233.0,50289,50401,50513,50625,50681.5
113,50738,50851,50964,51077,51133.5,51190,51303,51416,51529,51586.0
114,51643,51757,51871,51985,52042.0,52099,52213,52327,52441,52498.5
115,52556,52671,52786,52901,52958.5,53016,53131,53246,53361,53419.0
116,53477,53593,53709,53825,53883.0,53941,54057,54173,54289,54347.5
117,54406,54523,54640,54757,54815.5,54874,54991,55108,55225,55284.0
118,55343,55461,55579,55697,55756.0,55815,55933,56051,56169,56228.5
119,56288,56407,56526,56645,56704.5,56764,56883,57002,57121,57181.0
120,57241,57361,57481,57601,57661.0,57721,57841,57961,58081,58141.5
121,58202,58323,58444,58565,58625.5,58686,58807,58928,59049,59110.0
